date,category,product_name,price_per_kg,quantity_sold
2023-01-15,Vegetable,Potato,20,500
2023-01-20,Vegetable,Potato,22,480
2023-02-10,Vegetable,Potato,18,600
2023-06-15,Vegetable,Potato,30,200
2023-11-01,Vegetable,Potato,25,400
2023-02-01,Vegetable,Onion,30,300
2023-02-15,Vegetable,Onion,28,320
2023-02-20,Vegetable,Onion,35,250
2023-02-05,Vegetable,Tomato,40,200
2023-02-12,Vegetable,Tomato,38,220
2023-01-10,Fruit,Apple,100,100
2023-02-15,Fruit,Apple,95,120
2023-06-20,Fruit,Apple,150,50
2023-01-05,Grain,Rice,40,1000
2023-06-05,Grain,Rice,42,950
2023-02-10,Grain,Wheat,30,800
2023-02-25,Grain,Wheat,32,750
